size,index,value,update_ns
2000,1779,7548,273
2000,1983,6083,315
2000,1493,5472,429
2000,855,7900,399
2000,127,2683,344
2000,1312,2086,299
2000,1845,9807,294
2000,1167,4169,367
2000,1244,9607,347
2000,619,8304,344
2000,1845,8680,226
2000,593,8772,278
2000,1731,6366,303
2000,1389,8486,417
2000,1582,6685,351
2000,156,6985,699
2000,1028,550,581
2000,1010,4292,416
2000,1034,6262,355
2000,1552,9832,478
2000,113,588,408
2000,1855,3376,512
2000,1175,1485,412
2000,681,1075,528
2000,478,335,380
2000,489,4703,364
2000,1345,3,455
2000,786,6286,376
2000,1517,2981,448
2000,1931,4961,452
2000,1779,7548,296
2000,1983,6083,328
2000,1493,5472,465
2000,855,7900,393
2000,127,2683,338
2000,1312,2086,380
2000,1845,9807,331
2000,1167,4169,447
2000,1244,9607,482
2000,619,8304,400
2000,1845,8680,329
2000,593,8772,337
2000,1731,6366,294
2000,1389,8486,443
2000,1582,6685,359
2000,156,6985,590
2000,1028,550,517
2000,1010,4292,407
2000,1034,6262,341
2000,1552,9832,446
2000,113,588,396
2000,1855,3376,414
2000,1175,1485,334
2000,681,1075,498
2000,478,335,375
2000,489,4703,375
2000,1345,3,406
2000,786,6286,333
2000,1517,2981,421
2000,1931,4961,365
2000,1779,7548,300
2000,1983,6083,301
2000,1493,5472,401
2000,855,7900,391
2000,127,2683,341
2000,1312,2086,293
2000,1845,9807,290
2000,1167,4169,352
2000,1244,9607,346
2000,619,8304,366
2000,1845,8680,304
2000,593,8772,285
2000,1731,6366,284
2000,1389,8486,427
2000,1582,6685,341
2000,156,6985,636
2000,1028,550,469
2000,1010,4292,363
2000,1034,6262,365
2000,1552,9832,411
2000,113,588,414
2000,1855,3376,425
2000,1175,1485,321
2000,681,1075,467
2000,478,335,359
2000,489,4703,506
2000,1345,3,488
2000,786,6286,388
2000,1517,2981,415
2000,1931,4961,385
2000,1779,7548,314
2000,1983,6083,353
2000,1493,5472,423
2000,855,7900,397
2000,127,2683,398
2000,1312,2086,319
2000,1845,9807,292
2000,1167,4169,373
2000,1244,9607,364
2000,619,8304,378
2000,1845,8680,268
2000,593,8772,282
2000,1731,6366,319
2000,1389,8486,443
2000,1582,6685,432
2000,156,6985,654
2000,1028,550,537
2000,1010,4292,359
2000,1034,6262,341
2000,1552,9832,419
2000,113,588,329
2000,1855,3376,379
2000,1175,1485,362
2000,681,1075,460
2000,478,335,363
2000,489,4703,306
2000,1345,3,422
2000,786,6286,331
2000,1517,2981,515
2000,1931,4961,428
2000,1779,7548,284
2000,1983,6083,328
2000,1493,5472,472
2000,855,7900,394
2000,127,2683,338
2000,1312,2086,312
2000,1845,9807,269
2000,1167,4169,399
2000,1244,9607,372
2000,619,8304,367
2000,1845,8680,267
2000,593,8772,321
2000,1731,6366,307
2000,1389,8486,388
2000,1582,6685,367
2000,156,6985,647
2000,1028,550,518
2000,1010,4292,354
2000,1034,6262,346
2000,1552,9832,394
2000,113,588,303
2000,1855,3376,385
2000,1175,1485,331
2000,681,1075,453
2000,478,335,377
2000,489,4703,338
2000,1345,3,411
2000,786,6286,385
2000,1517,2981,416
